91.IV.2,collection,dc.coverage.temporal[],dc.date.issued,dc.description[en],dc.identifier.isbn[],dc.identifier.issn[],dc.identifier.other[],dc.identifier.uri,dc.language[],dc.title[en],dc.title[es],dc.title[fr],dc.title[ru],dcterms.publisher[en],undr.contributor.corporate[en],undr.contributor.corporate[es],undr.contributor.corporate[fr],undr.contributor.corporate[ru],undr.identifier.salesnumber[],undr.identifier.symbol[],
419713,11176/387434,1960-01-01 00:00:00,1960-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397892,Spanish,,"Suplemento al informe al Consejo Económico y Social sobre las actividades del Comité en 1960 : preparado en cumplimiento de las disposiciones de la Convención de 19 de febrero de 1925 sobre estupefacientes y de la Convención de 13 de julio de 1931 para limitar la fabricación y reglamentar la distribución de estupefacientes, modificadas por el Protocolo de 11 de diciembre de 1946",,,,,Comité Central Permanente del Opio,,,60.XI.3/Add.,E/OB/16/Add.,
419712,11176/387434,1992-01-01 00:00:00,1992-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397891,English,Bolivia : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,,,,,,E/NL.1992/18,
419711,11176/387434,1931-01-01 00:00:00,1932-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397890,English,"Detoxication treatment of opium addicts by vesicular serum : Dr. Modinos' method, extract from ""Berichten uitgaande van de anti-opiumvereeniging"", no. 7, December 1931",,,,,League of Nations. Advisory Committee on Traffic in Opium and other Dangerous Drugs,,,,,O.C.1188(c),
419710,11176/387434,1971-01-01 00:00:00,1971-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397889,English,"Commission on Narcotic Drugs, report of the twenty-fourth session, 27 September - 21 October 1971 : Economic and Social Council, official records, fifty-second session, supplement no. 2",,,,,United Nations. Commission on Narcotic Drugs,,,,,E/CN.7/544||E/5082,
419709,11176/387434,1975-01-01 00:00:00,1975-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397888,Spanish,,Guatemala : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes,,,,,,,,,E/NL.1975/42,
419708,11176/387434,1994-01-01 00:00:00,1994-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397887,English,Cape Verde : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,,,,,,E/NL.1994/7,
419707,11176/387434,1965-01-01 00:00:00,1966-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397886,English,Canada : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs,,,,,,,,,,E/NL.1966/18,
419706,11176/387434,1948-01-01 00:00:00,1949-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397885,French,,,"Île Maurice : Lois et règlements communiqués conformément aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,,,,,E/NL.1949/10,
419705,11176/387434,1988-01-01 00:00:00,1988-01-01 00:00:00,,,ISSN 0082-8327,,http://hdl.handle.net/11176/397884,Spanish,,Previsiones de las necesidades mundiales de estupefacientes para 1988 : suplemento n°. 06,,,,International Narcotics Control Board,Junta Internacional de Fiscalización de Estupefacientes,Organe international de contrôle des stupéfiants,,,E/INCB/1987/2/Supp.6,
419704,11176/387434,1995-01-01 00:00:00,1996-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397883,Spanish,,Chile : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,,,,,,,,E/NL.1996/4-5,
